Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,1,3,4,3.0477
2025,1,Monday,1,3,7,0.615
2025,1,Monday,1,6,8,0.3332
2025,1,Monday,1,3,6,1.961
2025,1,Monday,1,3,1,0.7195
2025,1,Monday,1,4,5,0.3647
2025,1,Monday,1,2,8,0.2707
2025,1,Monday,1,1,4,0.5755
2025,1,Monday,1,4,2,0.2858
2025,1,Monday,1,4,7,0.2858
2025,1,Monday,1,8,4,0.3332
2025,1,Monday,1,5,3,1.5267
2025,1,Monday,1,7,5,0.25
2025,1,Monday,1,5,8,0.5
2025,1,Monday,1,5,2,0.4642
2025,1,Monday,1,2,3,1.625
2025,1,Monday,1,4,6,0.8252
2025,1,Monday,1,6,5,0.25
2025,1,Monday,1,4,8,0.2758
2025,1,Monday,1,2,0,1.911
2025,1,Monday,1,6,2,0.3832
2025,1,Monday,1,4,1,1.4827
2025,1,Monday,1,2,4,0.3
2025,1,Monday,1,0,1,0.6005
2025,1,Monday,1,0,3,0.277
2025,1,Monday,1,6,1,0.9165
2025,1,Monday,1,0,5,0.277
2025,1,Monday,1,0,2,0.384
2025,1,Monday,1,8,6,0.2813
2025,1,Monday,1,6,4,1.1965
2025,1,Monday,1,3,8,0.6668
2025,1,Monday,1,3,0,0.3877
2025,1,Monday,1,1,6,1.4405
2025,1,Monday,1,2,1,0.55
2025,1,Monday,1,2,6,0.7813
2025,1,Monday,1,1,3,0.2885
2025,1,Monday,1,8,3,0.2918
2025,1,Monday,1,3,5,1.6057
2025,1,Monday,1,4,3,2.5493
2025,1,Monday,1,1,8,0.8805
2025,1,Monday,1,4,0,0.8515
2025,1,Monday,1,6,3,1.866
2025,1,Monday,13,2,0,14.431
2025,1,Monday,13,8,1,17.6055
2025,1,Monday,13,5,4,37.895
2025,1,Monday,13,6,8,18.4057
2025,1,Monday,13,0,4,22.5932
2025,1,Monday,13,4,1,57.159
2025,1,Monday,13,1,0,32.5355
2025,1,Monday,13,0,8,4.1113
2025,1,Monday,13,6,2,35.607
2025,1,Monday,13,6,7,4.66
2025,1,Monday,13,7,1,11.438
2025,1,Monday,13,0,6,10.2525
2025,1,Monday,13,2,3,91.1895
2025,1,Monday,13,3,6,143.3128
2025,1,Monday,13,3,0,24.3313
2025,1,Monday,13,1,8,13.8763
2025,1,Monday,13,0,1,42.0795
2025,1,Monday,13,3,4,147.8153
2025,1,Monday,13,7,6,3.4985
2025,1,Monday,13,2,4,42.3223
2025,1,Monday,13,8,5,14.483
2025,1,Monday,13,2,6,40.3863
2025,1,Monday,13,8,7,0.3155
2025,1,Monday,13,3,5,63.5218
2025,1,Monday,13,1,5,18.8885
2025,1,Monday,13,5,8,14.2115
2025,1,Monday,13,0,3,24.32
2025,1,Monday,13,1,7,9.4405
2025,1,Monday,13,6,0,9.3525
2025,1,Monday,13,7,2,19.3543
2025,1,Monday,13,1,6,39.4503
2025,1,Monday,13,8,2,10.6597
2025,1,Monday,13,0,7,2.046
2025,1,Monday,13,5,0,8.3548
2025,1,Monday,13,8,3,42.7622
2025,1,Monday,13,3,8,33.245
2025,1,Monday,13,7,8,0.5673
2025,1,Monday,13,6,4,58.7908
2025,1,Monday,13,2,7,11.039
2025,1,Monday,13,6,3,141.1217
2025,1,Monday,13,4,7,18.8653
2025,1,Monday,13,7,0,4.1257
2025,1,Monday,13,4,3,128.799
