Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,13,11,3,11.972
2025,1,Monday,13,2,1,1.145
2025,1,Monday,13,8,7,0.8672
2025,1,Monday,13,11,10,3.7753
2025,1,Monday,13,8,0,7.0317
2025,1,Monday,13,7,8,0.6312
2025,1,Monday,13,10,3,4.9915
2025,1,Monday,13,2,6,2.3658
2025,1,Monday,13,2,11,3.1505
2025,1,Monday,13,2,3,3.4478
2025,1,Monday,13,1,10,0.3035
2025,1,Monday,13,2,0,10.2355
2025,1,Monday,13,10,6,0.8338
2025,1,Monday,13,9,4,6.945
2025,1,Monday,13,1,11,0.3332
2025,1,Monday,13,5,1,2.769
2025,1,Monday,13,4,10,3.588
2025,1,Monday,13,2,9,2.0032
2025,1,Monday,2,3,11,0.2858
2025,1,Monday,2,4,2,1.0272
2025,1,Monday,2,4,8,0.8332
2025,1,Monday,2,8,11,0.3125
2025,1,Monday,2,3,0,0.2885
2025,1,Monday,2,1,8,0.375
2025,1,Monday,2,11,1,0.25
2025,1,Monday,2,3,9,0.5
2025,1,Monday,2,0,8,0.25
2025,1,Monday,2,4,3,1.3215
2025,1,Monday,2,2,8,0.3125
2025,1,Monday,2,4,7,0.2833
2025,1,Monday,2,6,9,0.75
2025,1,Monday,2,8,5,0.25
2025,1,Monday,2,2,0,0.25
2025,1,Monday,2,11,5,1.125
2025,1,Monday,2,11,6,0.25
2025,1,Monday,2,6,1,2
2025,1,Monday,2,2,7,0.25
2025,1,Monday,2,11,8,0.25
2025,1,Monday,2,0,4,0.25
2025,1,Monday,2,4,0,1.1522
2025,1,Monday,2,11,10,0.25
2025,1,Monday,2,5,3,0.3125
2025,1,Monday,2,8,4,0.5625
2025,1,Monday,14,0,2,13.2922
2025,1,Monday,14,2,5,3.9985
2025,1,Monday,14,11,5,10.4778
2025,1,Monday,14,6,4,1.4865
2025,1,Monday,14,3,8,8.1422
2025,1,Monday,14,3,9,4.8772
2025,1,Monday,14,6,10,3.031
2025,1,Monday,14,7,8,0.32
2025,1,Monday,14,3,4,7.859
2025,1,Monday,14,2,0,11.3833
2025,1,Monday,14,1,10,0.6903
2025,1,Monday,14,8,0,6.6438
2025,1,Monday,14,6,2,2.022
2025,1,Monday,14,10,7,2.929
2025,1,Monday,14,8,7,1.842
2025,1,Monday,14,5,10,3.9812
2025,1,Monday,14,11,10,4.7492
2025,1,Monday,14,10,5,1.134
2025,1,Monday,14,9,4,5.2993
2025,1,Monday,14,0,4,7.5595
2025,1,Monday,14,9,6,0.9202
2025,1,Monday,14,4,0,10.179
2025,1,Monday,14,2,11,6.6472
2025,1,Monday,14,4,6,4.1955
2025,1,Monday,14,10,3,6.9088
2025,1,Monday,14,1,7,0.718
2025,1,Monday,14,8,5,3.17
2025,1,Monday,14,1,5,1.069
2025,1,Monday,14,10,4,6.6135
2025,1,Monday,14,5,4,2.7358
2025,1,Monday,14,7,1,0.6272
2025,1,Monday,14,5,8,7.028
2025,1,Monday,14,2,7,1.994
2025,1,Monday,14,0,11,3.4893
2025,1,Monday,14,8,10,4.1497
2025,1,Monday,14,1,3,8.8085
2025,1,Monday,14,11,8,12.8325
2025,1,Monday,14,9,5,1.5027
2025,1,Monday,14,1,6,0.6345
2025,1,Monday,14,9,0,0.302
2025,1,Monday,14,6,9,0.5862
2025,1,Monday,14,5,2,18.5287
2025,1,Monday,14,3,1,5.0005
2025,1,Monday,14,6,0,0.8562
2025,1,Monday,14,3,7,4.392
2025,1,Monday,14,5,1,3.031
2025,1,Monday,14,10,2,4.3595
2025,1,Monday,14,2,10,2.325
2025,1,Monday,14,1,4,2.8483
2025,1,Monday,14,7,10,4.661
2025,1,Monday,14,1,11,1.6838
2025,1,Monday,14,0,6,1.458
2025,1,Monday,14,11,0,4.0707
2025,1,Monday,14,7,9,1.2105
2025,1,Monday,14,5,3,22.1818
2025,1,Monday,14,2,8,4.0327
2025,1,Monday,14,5,0,9.134
2025,1,Monday,14,3,11,5.5135
2025,1,Monday,14,7,0,2.7593
2025,1,Monday,14,10,1,0.8625
2025,1,Monday,14,3,5,6.9095
2025,1,Monday,14,8,3,10.6267
2025,1,Monday,14,7,3,4.08
2025,1,Monday,14,7,4,7.3413
2025,1,Monday,14,11,4,16.9933
2025,1,Monday,14,0,1,0.9092
2025,1,Monday,14,10,11,3.4823
2025,1,Monday,14,1,9,2.2138
2025,1,Monday,14,0,10,2.9342
2025,1,Monday,14,1,0,0.359
2025,1,Monday,14,10,6,0.591
2025,1,Monday,14,4,9,7.9245
2025,1,Monday,14,0,9,3.8147
2025,1,Monday,14,8,2,6.8938
2025,1,Monday,14,7,11,9.491
2025,1,Monday,14,9,7,2.3943
2025,1,Monday,14,6,3,7.3
2025,1,Monday,14,2,1,2.3505
2025,1,Monday,14,7,5,0.6255
2025,1,Monday,14,9,11,4.782
2025,1,Monday,14,7,2,3.9518
2025,1,Monday,14,6,11,6.2848
2025,1,Monday,14,10,0,2.5858
2025,1,Monday,14,4,5,5.1677
2025,1,Monday,14,5,9,4.9147
2025,1,Monday,14,0,8,10.087
2025,1,Monday,14,4,10,8.1062
2025,1,Monday,14,0,7,4.1585
2025,1,Monday,14,2,6,1.1675
2025,1,Monday,14,11,6,4.7342
2025,1,Monday,14,11,1,3.319
2025,1,Monday,14,4,3,14.0003
2025,1,Monday,14,1,8,1.1445
2025,1,Monday,14,10,8,2.617
2025,1,Monday,14,8,4,17.8235
2025,1,Monday,14,3,6,3.5127
2025,1,Monday,14,6,1,0.8657
2025,1,Monday,14,3,0,18.4287
2025,1,Monday,14,9,3,4.148
2025,1,Monday,14,11,3,12.1272
2025,1,Monday,14,5,7,3.6405
2025,1,Monday,14,2,4,10.117
2025,1,Monday,14,11,7,13.0612
2025,1,Monday,14,4,8,13.9355
2025,1,Monday,14,11,9,5.8482
2025,1,Monday,14,0,5,2.8508
2025,1,Monday,14,11,2,12.8307
2025,1,Monday,14,4,1,5.118
2025,1,Monday,14,8,11,9.4878
2025,1,Monday,14,8,6,1.8943
2025,1,Monday,14,9,1,0.5892
2025,1,Monday,14,4,11,7.0817
2025,1,Monday,14,1,2,4.5025
2025,1,Monday,14,5,11,9.1562
2025,1,Monday,14,2,9,1.7145
2025,1,Monday,14,3,10,2.5792
2025,1,Monday,14,4,2,13.705
2025,1,Monday,14,0,3,15.8057
2025,1,Monday,14,6,8,1.1947
2025,1,Monday,14,9,10,0.302
2025,1,Monday,14,3,2,2.592
2025,1,Monday,14,4,7,9.3538
2025,1,Monday,14,2,3,1.7773
2025,1,Monday,14,9,2,2.3577
2025,1,Monday,14,8,1,0.3162
2025,1,Monday,3,4,3,0.2833
2025,1,Monday,3,4,7,0.25
2025,1,Monday,3,3,11,0.25
2025,1,Monday,3,8,1,0.9168
2025,1,Monday,3,0,10,0.3
2025,1,Monday,3,6,3,0.3125
2025,1,Monday,3,5,11,0.25
2025,1,Monday,3,4,8,0.2833
2025,1,Monday,3,11,7,0.25
2025,1,Monday,3,2,8,0.5832
2025,1,Monday,3,1,8,0.5
2025,1,Monday,3,5,2,0.25
2025,1,Monday,3,7,4,0.7918
2025,1,Monday,3,4,1,0.3332
2025,1,Monday,3,0,2,0.25
2025,1,Monday,3,9,4,0.25
2025,1,Monday,3,0,8,0.25
2025,1,Monday,3,11,10,0.375
2025,1,Monday,3,11,0,0.5
2025,1,Monday,3,11,8,0.3332
2025,1,Monday,3,8,4,0.5625
2025,1,Monday,3,0,3,0.25
2025,1,Monday,3,11,1,0.375
2025,1,Monday,3,3,9,0.3332
2025,1,Monday,3,6,2,0.3125
2025,1,Monday,3,2,0,0.3
2025,1,Monday,3,4,2,0.8498
2025,1,Monday,3,4,0,0.3125
2025,1,Monday,3,11,6,0.5832
2025,1,Monday,3,0,6,0.25
2025,1,Monday,3,11,2,0.5832
2025,1,Monday,3,3,8,0.25
2025,1,Monday,3,2,4,0.375
2025,1,Monday,3,0,5,0.25
2025,1,Monday,15,8,1,0.9243
2025,1,Monday,15,6,2,2.0493
2025,1,Monday,15,4,5,5.8715
2025,1,Monday,15,6,11,6.6847
2025,1,Monday,15,4,11,9.8055
2025,1,Monday,15,0,3,16.9865
2025,1,Monday,15,1,7,2.4903
2025,1,Monday,15,9,6,0.5983
2025,1,Monday,15,5,4,2.4565
2025,1,Monday,15,3,8,8.3923
2025,1,Monday,15,11,6,9.4705
2025,1,Monday,15,11,1,4.0508
2025,1,Monday,15,4,9,8.4253
2025,1,Monday,15,1,8,4.3053
2025,1,Monday,15,0,2,11.8847
2025,1,Monday,15,4,8,14.0305
2025,1,Monday,15,5,1,2.4967
2025,1,Monday,15,6,10,1.1563
2025,1,Monday,15,6,3,3.5725
2025,1,Monday,15,8,3,13.1457
2025,1,Monday,15,9,5,2.7457
2025,1,Monday,15,8,4,14.3385
2025,1,Monday,15,6,8,2.2858
2025,1,Monday,15,7,5,1.5605
2025,1,Monday,15,9,2,1.551
2025,1,Monday,15,9,11,7.3695
2025,1,Monday,15,10,5,0.8633
2025,1,Monday,15,9,3,5.9477
2025,1,Monday,15,2,10,2.0508
2025,1,Monday,15,3,9,5.5533
2025,1,Monday,15,2,3,2.3682
2025,1,Monday,15,8,2,6.9137
2025,1,Monday,15,5,11,7.6425
2025,1,Monday,15,3,2,4.1625
2025,1,Monday,15,0,5,5.6892
2025,1,Monday,15,3,1,3.5525
2025,1,Monday,15,5,7,2.4385
2025,1,Monday,15,7,8,0.599
2025,1,Monday,15,9,7,1.582
2025,1,Monday,15,2,8,7.2368
2025,1,Monday,15,5,9,3.6902
2025,1,Monday,15,1,3,7.425
2025,1,Monday,15,7,9,2.1578
2025,1,Monday,15,10,6,0.9148
2025,1,Monday,15,2,6,2.5972
2025,1,Monday,15,8,7,1.1745
2025,1,Monday,15,8,11,10.6582
2025,1,Monday,15,3,4,6.5413
2025,1,Monday,15,3,7,4.1697
2025,1,Monday,15,0,1,0.278
2025,1,Monday,15,8,5,4.8535
2025,1,Monday,15,10,4,6.4403
2025,1,Monday,15,11,5,7.9072
2025,1,Monday,15,6,9,2.6395
2025,1,Monday,15,5,0,6.1457
2025,1,Monday,15,3,5,5.1085
2025,1,Monday,15,3,11,8.0063
2025,1,Monday,15,10,1,1.1883
2025,1,Monday,15,1,6,3.404
2025,1,Monday,15,7,10,0.9108
2025,1,Monday,15,0,6,2.573
2025,1,Monday,15,0,11,4.2845
2025,1,Monday,15,8,6,0.9295
2025,1,Monday,15,2,11,4.098
2025,1,Monday,15,7,2,1.5105
2025,1,Monday,15,6,4,1.201
2025,1,Monday,15,11,2,14.0988
2025,1,Monday,15,10,11,1.288
2025,1,Monday,15,11,9,10.6392
2025,1,Monday,15,4,3,8.6927
2025,1,Monday,15,11,10,4.4715
2025,1,Monday,15,5,3,9.553
2025,1,Monday,15,10,7,2.4015
2025,1,Monday,15,10,8,3.0738
2025,1,Monday,15,2,9,3.487
2025,1,Monday,15,7,11,8.0155
2025,1,Monday,15,4,10,8.469
2025,1,Monday,15,10,3,7.2138
2025,1,Monday,15,0,10,2.553
2025,1,Monday,15,11,7,13.6822
2025,1,Monday,15,9,0,1.225
2025,1,Monday,15,7,3,4.583
2025,1,Monday,15,10,2,2.3675
2025,1,Monday,15,2,5,3.2013
2025,1,Monday,15,0,8,14.1875
2025,1,Monday,15,1,4,6.787
2025,1,Monday,15,7,4,5.7575
2025,1,Monday,15,4,1,3.0498
2025,1,Monday,15,11,8,13.1925
2025,1,Monday,15,8,0,5.4942
2025,1,Monday,15,1,0,1.253
2025,1,Monday,15,2,4,13.8885
2025,1,Monday,15,1,11,1.2313
2025,1,Monday,15,1,9,0.628
2025,1,Monday,15,6,0,2.6495
2025,1,Monday,15,2,1,3.777
2025,1,Monday,15,11,0,7.9072
2025,1,Monday,15,5,2,12.0005
2025,1,Monday,15,0,4,10.1687
2025,1,Monday,15,1,10,0.3058
2025,1,Monday,15,7,0,3.0875
2025,1,Monday,15,2,0,12.8015
2025,1,Monday,15,4,2,10.4027
2025,1,Monday,15,5,8,5.8365
2025,1,Monday,15,7,1,0.321
2025,1,Monday,15,9,4,5.88
2025,1,Monday,15,5,10,4.004
2025,1,Monday,15,2,7,4.6505
2025,1,Monday,15,0,7,6.5965
2025,1,Monday,15,4,0,11.6298
2025,1,Monday,15,3,0,11.4238
2025,1,Monday,15,11,3,26.9755
2025,1,Monday,15,3,10,4.7932
2025,1,Monday,15,10,0,5.3673
2025,1,Monday,15,8,10,2.4687
2025,1,Monday,15,4,7,12.3007
2025,1,Monday,15,6,1,0.314
2025,1,Monday,15,4,6,7.9797
2025,1,Monday,15,1,5,4.3115
2025,1,Monday,15,11,4,15.978
2025,1,Monday,15,9,1,0.9435
2025,1,Monday,15,3,6,3.879
2025,1,Monday,15,0,9,3.6577
2025,1,Monday,15,1,2,8.7003
2025,1,Monday,4,1,8,0.25
2025,1,Monday,4,2,0,0.2813
2025,1,Monday,4,4,3,0.275
2025,1,Monday,4,0,9,0.5832
2025,1,Monday,4,9,2,0.5565
2025,1,Monday,4,0,3,0.5668
2025,1,Monday,4,11,10,0.75
2025,1,Monday,4,11,8,0.5832
2025,1,Monday,4,7,0,2.1405
2025,1,Monday,4,5,3,1.0033
2025,1,Monday,4,7,11,0.875
2025,1,Monday,4,4,0,1.4585
2025,1,Monday,4,11,1,1
2025,1,Monday,4,0,5,0.3332
2025,1,Monday,4,4,2,0.275
2025,1,Monday,4,11,3,0.5
2025,1,Monday,4,6,4,0.8125
2025,1,Monday,4,11,0,1
2025,1,Monday,4,9,4,1.6242
2025,1,Monday,4,4,6,0.3077
2025,1,Monday,4,8,3,0.5695
2025,1,Monday,4,2,4,1.1
2025,1,Monday,4,0,2,0.2918
2025,1,Monday,4,1,5,0.25
2025,1,Monday,4,9,11,0.2648
2025,1,Monday,4,4,8,0.636
2025,1,Monday,4,5,9,0.341
2025,1,Monday,4,0,8,0.8332
2025,1,Monday,4,4,7,0.275
2025,1,Monday,4,8,2,0.2777
2025,1,Monday,4,3,0,0.8368
2025,1,Monday,4,9,0,0.3392
2025,1,Monday,4,0,4,0.7918
2025,1,Monday,4,4,11,1.0278
2025,1,Monday,4,5,2,0.3215
2025,1,Monday,4,7,3,0.5577
2025,1,Monday,4,9,3,0.2918
2025,1,Monday,4,11,6,0.5832
2025,1,Monday,4,0,7,0.25
2025,1,Monday,4,1,3,0.75
2025,1,Monday,4,10,0,1.583
2025,1,Monday,4,8,0,1.4652
2025,1,Monday,4,1,4,1.1665
2025,1,Monday,4,5,1,0.6535
2025,1,Monday,16,10,4,7.779
2025,1,Monday,16,3,5,7.9002
2025,1,Monday,16,3,0,14.1215
2025,1,Monday,16,5,0,8.5337
2025,1,Monday,16,5,9,4.3915
2025,1,Monday,16,4,9,7.698
2025,1,Monday,16,3,4,7.9683
2025,1,Monday,16,7,5,3.1488
2025,1,Monday,16,2,7,5.1358
2025,1,Monday,16,4,3,6.4768
2025,1,Monday,16,0,5,6.858
2025,1,Monday,16,6,4,2.355
2025,1,Monday,16,1,10,2.7393
2025,1,Monday,16,8,4,15.5882
2025,1,Monday,16,8,7,0.286
2025,1,Monday,16,4,5,3.8243
2025,1,Monday,16,4,7,8.1783
2025,1,Monday,16,9,6,0.8647
2025,1,Monday,16,9,0,2.885
2025,1,Monday,16,0,11,7.6307
2025,1,Monday,16,5,10,6.4815
2025,1,Monday,16,4,0,8.4502
2025,1,Monday,16,0,4,13.1547
2025,1,Monday,16,5,11,9.0832
2025,1,Monday,16,11,1,2.3702
2025,1,Monday,16,10,8,5.7295
2025,1,Monday,16,4,1,1.7867
2025,1,Monday,16,9,3,6.6305
2025,1,Monday,16,2,0,11.9465
2025,1,Monday,16,8,1,2.6342
2025,1,Monday,16,7,3,5.4085
2025,1,Monday,16,8,6,0.3175
2025,1,Monday,16,0,10,6.7618
2025,1,Monday,16,6,1,2.0805
2025,1,Monday,16,7,4,13.66
2025,1,Monday,16,4,6,3.2697
2025,1,Monday,16,6,11,7.0965
2025,1,Monday,16,2,1,3.9707
2025,1,Monday,16,6,9,4.7078
2025,1,Monday,16,2,11,4.8462
2025,1,Monday,16,11,2,15.9727
2025,1,Monday,16,7,2,4.56
2025,1,Monday,16,6,2,2.671
2025,1,Monday,16,0,9,7.9432
2025,1,Monday,16,5,2,13.2183
2025,1,Monday,16,11,4,21.425
2025,1,Monday,16,1,9,5.1992
2025,1,Monday,16,5,4,2.9383
2025,1,Monday,16,1,7,3.3468
2025,1,Monday,16,9,5,2.8405
2025,1,Monday,16,5,8,6.7612
2025,1,Monday,16,5,7,4.717
